names,x,y
Super_Express__wybory_prez1_end,0.0824926125679,-0.0121014064971
Super_Express__wybory_prez1_start,0.0941766241182,-0.0156650701747
Super_Express__wybory_prez2_end,0.0662453355598,-0.175184130313
Super_Express__wybory_prez2_start,0.0734750649444,-0.25348663214
Super_Express__wybory_samorz_end,0.0115742296862,-0.000273594273695
Super_Express__wybory_samorz_start,0.0189854122219,-0.00737254999111
Super_Express__zamach_bruks_end,0.0826576941097,0.0154795692202
Super_Express__zamach_bruks_start,0.122802943881,0.0229974555105
Super_Express__zamach_hebdo_end,0.03133501217,-0.00959888651861
Super_Express__zamach_hebdo_start,0.0398732779423,-0.0145242467385
Super_Express__zamach_paryz_end,0.101078816355,0.0127387235886
Super_Express__zamach_paryz_start,0.0850344955864,0.00202172506926
