topicId,weight,count_all,word_u,source
0,0.00754518902086,5694,miasto,Gazeta_Wyborcza
0,0.00683163851091,3177,firma,Gazeta_Wyborcza
0,0.005874189897,5156,warszawa,Gazeta_Wyborcza
0,0.00527007563474,2423,lekarz,Gazeta_Wyborcza
0,0.00519929349754,3624,szpital,Gazeta_Wyborcza
0,0.00475795871861,3259,pieniadz,Gazeta_Wyborcza
0,0.00448519791726,2282,zdrowie,Gazeta_Wyborcza
0,0.00413882087495,1904,miejski,Gazeta_Wyborcza
0,0.00397743425083,4609,tama,Gazeta_Wyborcza
0,0.00389932107491,3144,mieszkaniec,Gazeta_Wyborcza
0,0.00377037894818,5265,mama,Gazeta_Wyborcza
0,0.00317355129219,2260,dyrektor,Gazeta_Wyborcza
0,0.00309801179234,1506,wlasciciel,Gazeta_Wyborcza
0,0.00297823472316,1919,pracownik,Gazeta_Wyborcza
0,0.00291444927128,2986,pracowac,Gazeta_Wyborcza
1,0.00834668482898,9758,policja,Gazeta_Wyborcza
1,0.00804648406775,3098,wypadek,Gazeta_Wyborcza
1,0.00798521514896,3347,samochod,Gazeta_Wyborcza
1,0.00797776260664,3336,samolot,Gazeta_Wyborcza
1,0.00708956899023,3190,katastrofa,Gazeta_Wyborcza
1,0.00673837296832,2594,kierowca,Gazeta_Wyborcza
1,0.00617880841933,3043,zginac,Gazeta_Wyborcza
1,0.00614638107496,3686,droga,Gazeta_Wyborcza
1,0.00610210908901,4373,godzina,Gazeta_Wyborcza
1,0.00543487628353,4241,twitter,Gazeta_Wyborcza
1,0.004794066941,1846,lotnisko,Gazeta_Wyborcza
1,0.00465295831385,1797,ranny,Gazeta_Wyborcza
1,0.00462342568508,3503,ofiara,Gazeta_Wyborcza
1,0.00440720804629,2382,zamach,Gazeta_Wyborcza
1,0.00437365085227,1948,przyczyna,Gazeta_Wyborcza
2,0.00883646155908,3583,facebook,Gazeta_Wyborcza
2,0.00608301663804,2732,szkola,Gazeta_Wyborcza
2,0.00518170257886,2103,film,Gazeta_Wyborcza
2,0.0048813024414,1978,egzamin,Gazeta_Wyborcza
2,0.00471519626015,4358,rodzina,Gazeta_Wyborcza
2,0.0046047299881,2471,historia,Gazeta_Wyborcza
2,0.00443769908305,2158,poziom,Gazeta_Wyborcza
2,0.00394528584307,2813,zadac,Gazeta_Wyborcza
2,0.00343057740205,5265,mama,Gazeta_Wyborcza
2,0.003373074278,5204,kobieta,Gazeta_Wyborcza
2,0.00335897420408,4123,dobra,Gazeta_Wyborcza
2,0.00324827281819,3622,zrobic,Gazeta_Wyborcza
2,0.00322309369552,2436,swiat,Gazeta_Wyborcza
2,0.00314907585238,1276,matura,Gazeta_Wyborcza
2,0.00295888819426,2664,znac,Gazeta_Wyborcza
3,0.0159314969825,6605,rosja,Gazeta_Wyborcza
3,0.0134853312796,5591,rosyjski,Gazeta_Wyborcza
3,0.011874246294,4923,ukraina,Gazeta_Wyborcza
3,0.00869356985966,3605,usa,Gazeta_Wyborcza
3,0.00742893881579,6557,wladza,Gazeta_Wyborcza
3,0.00693460179929,2897,sila,Gazeta_Wyborcza
3,0.00615987222731,2554,putin,Gazeta_Wyborcza
3,0.00602303757018,3437,wojna,Gazeta_Wyborcza
3,0.00589395116951,2445,wojskowy,Gazeta_Wyborcza
3,0.00558151233496,2315,zolnierz,Gazeta_Wyborcza
3,0.00555709973754,3550,bezpieczenstwo,Gazeta_Wyborcza
3,0.00548900340297,3145,atak,Gazeta_Wyborcza
3,0.00531910000065,2293,amerykanski,Gazeta_Wyborcza
3,0.00496119472284,2609,obrona,Gazeta_Wyborcza
3,0.00477465605187,3082,agencja,Gazeta_Wyborcza
4,0.0122773686228,8506,rzad,Gazeta_Wyborcza
4,0.0115802143708,5385,ustawa,Gazeta_Wyborcza
4,0.0110826467112,7449,prawo,Gazeta_Wyborcza
4,0.0103528976822,6219,minister,Gazeta_Wyborcza
4,0.00970902838543,4712,komisja,Gazeta_Wyborcza
4,0.00796713280912,4989,europejski,Gazeta_Wyborcza
4,0.00677530604303,4625,zmiana,Gazeta_Wyborcza
4,0.00586818068,2729,trybunal,Gazeta_Wyborcza
4,0.00541492974839,2518,tk,Gazeta_Wyborcza
4,0.00533731999081,3773,przyjac,Gazeta_Wyborcza
4,0.00522987354967,4602,program,Gazeta_Wyborcza
4,0.00494828290287,2303,euro,Gazeta_Wyborcza
4,0.00488843099395,2274,grecja,Gazeta_Wyborcza
4,0.00482677996594,3598,wniosek,Gazeta_Wyborcza
4,0.00478406008648,4424,premiera,Gazeta_Wyborcza
5,0.0156675524885,6926,prokuratura,Gazeta_Wyborcza
5,0.0140756281186,9758,policja,Gazeta_Wyborcza
5,0.0101862019256,5955,mezczyzna,Gazeta_Wyborcza
5,0.00822386660948,4152,policjant,Gazeta_Wyborcza
5,0.00762430285306,3371,zarzut,Gazeta_Wyborcza
5,0.00753214414194,5204,kobieta,Gazeta_Wyborcza
5,0.00731268824431,3233,sledztwo,Gazeta_Wyborcza
5,0.00628750095321,3130,wyrok,Gazeta_Wyborcza
5,0.00622937995507,2754,prokurator,Gazeta_Wyborcza
5,0.00501678314956,2386,postepowac,Gazeta_Wyborcza
5,0.00480037308026,2418,proces,Gazeta_Wyborcza
