topicId,weight,count_all,word_u,source
6,0.00248145662724,8506,rzad,Gazeta_Wyborcza
6,0.00213210755811,7449,prawo,Gazeta_Wyborcza
6,0.00203285946943,6926,prokuratura,Gazeta_Wyborcza
6,0.00194713808897,6864,duda,Gazeta_Wyborcza
6,0.0018712632789,6557,wladza,Gazeta_Wyborcza
6,0.00183042930381,6605,rosja,Gazeta_Wyborcza
6,0.00177402632071,6219,minister,Gazeta_Wyborcza
6,0.0017618202197,5955,mezczyzna,Gazeta_Wyborcza
6,0.00173227597662,5961,wyborczy,Gazeta_Wyborcza
6,0.0017085898875,5694,miasto,Gazeta_Wyborcza
6,0.00167546054166,5781,polityk,Gazeta_Wyborcza
6,0.00165586051832,5707,pomoc,Gazeta_Wyborcza
6,0.00165468596433,5413,andrzej,Gazeta_Wyborcza
7,0.00293921042366,9840,pis,Gazeta_Wyborcza
7,0.00292852220067,9758,policja,Gazeta_Wyborcza
7,0.00246334737734,8506,rzad,Gazeta_Wyborcza
7,0.0021460178569,7449,prawo,Gazeta_Wyborcza
7,0.00202761725941,6926,prokuratura,Gazeta_Wyborcza
7,0.00202284673609,6605,rosja,Gazeta_Wyborcza
7,0.001924952158,6557,wladza,Gazeta_Wyborcza
7,0.00186351372376,6864,duda,Gazeta_Wyborcza
7,0.00179235341222,6219,minister,Gazeta_Wyborcza
7,0.00173693657666,5702,partia,Gazeta_Wyborcza
7,0.00172406232257,5955,mezczyzna,Gazeta_Wyborcza
7,0.00170056584317,5707,pomoc,Gazeta_Wyborcza
7,0.00168033945861,5961,wyborczy,Gazeta_Wyborcza
7,0.00166673597613,5781,polityk,Gazeta_Wyborcza
7,0.00162002369509,5694,miasto,Gazeta_Wyborcza
0,0.0031145760165,12182,rzad,Nasz_Dziennik
0,0.0030427248216,11456,prawo,Nasz_Dziennik
0,0.0022655347074,8682,minister,Nasz_Dziennik
0,0.00224408207867,8748,rodzina,Nasz_Dziennik
0,0.00216608138385,8064,wladza,Nasz_Dziennik
0,0.00208732130701,7915,ustawa,Nasz_Dziennik
0,0.00208240617728,7792,komisja,Nasz_Dziennik
0,0.00200918710465,7912,mama,Nasz_Dziennik
0,0.00198951356975,7791,polak,Nasz_Dziennik
0,0.00191185777504,7332,posel,Nasz_Dziennik
0,0.00188622033802,7268,europejski,Nasz_Dziennik
0,0.00185200492912,7029,zwiazek,Nasz_Dziennik
0,0.0017249059461,6483,pomoc,Nasz_Dziennik
0,0.00167768923766,6437,rosja,Nasz_Dziennik
0,0.00165556695724,6309,ukraina,Nasz_Dziennik
1,0.00308381801405,12182,rzad,Nasz_Dziennik
1,0.00299460758745,11456,prawo,Nasz_Dziennik
1,0.00230212142655,8682,minister,Nasz_Dziennik
1,0.00223877812692,8748,rodzina,Nasz_Dziennik
1,0.00209199000208,8064,wladza,Nasz_Dziennik
1,0.0020910483061,7912,mama,Nasz_Dziennik
1,0.00207866779832,7792,komisja,Nasz_Dziennik
1,0.00205376470137,7915,ustawa,Nasz_Dziennik
1,0.00204576489492,7791,polak,Nasz_Dziennik
1,0.00188912108032,7332,posel,Nasz_Dziennik
1,0.00185821165046,7268,europejski,Nasz_Dziennik
1,0.0018178375124,7029,zwiazek,Nasz_Dziennik
1,0.00176545171614,6437,rosja,Nasz_Dziennik
1,0.00169538120049,6309,ukraina,Nasz_Dziennik
1,0.00169431211877,6366,rosyjski,Nasz_Dziennik
2,0.00321779408333,12182,rzad,Nasz_Dziennik
2,0.00300134351626,11456,prawo,Nasz_Dziennik
2,0.00230406106259,8682,minister,Nasz_Dziennik
2,0.0022612527172,8748,rodzina,Nasz_Dziennik
2,0.00208523074041,7915,ustawa,Nasz_Dziennik
2,0.00206766197523,7912,mama,Nasz_Dziennik
2,0.00206289185543,8064,wladza,Nasz_Dziennik
2,0.00202543440054,7791,polak,Nasz_Dziennik
2,0.00200825506432,7792,komisja,Nasz_Dziennik
2,0.00196720023105,7268,europejski,Nasz_Dziennik
2,0.00187617002719,7332,posel,Nasz_Dziennik
2,0.0018515650931,7029,zwiazek,Nasz_Dziennik
2,0.00170354673449,6309,ukraina,Nasz_Dziennik
2,0.00165374914984,6483,pomoc,Nasz_Dziennik
2,0.00164051730351,6366,rosyjski,Nasz_Dziennik
3,0.00315221570172,12182,rzad,Nasz_Dziennik
3,0.00293441276183,11456,prawo,Nasz_Dziennik
3,0.00228088494656,8748,rodzina,Nasz_Dziennik
3,0.00223194346991,8682,minister,Nasz_Dziennik
3,0.00207714664573,8064,wladza,Nasz_Dziennik
3,0.00204318810076,7912,mama,Nasz_Dziennik
3,0.00202184387457,7791,polak,Nasz_Dziennik
3,0.0020103344808,7915,ustawa,Nasz_Dziennik
3,0.00201024761996,7792,komisja,Nasz_Dziennik
3,0.00188777591005,7332,posel,Nasz_Dziennik
3,0.00183306962346,7268,europejski,Nasz_Dziennik
3,0.00181074726466,7029,zwiazek,Nasz_Dziennik
3,0.00167231739286,6483,pomoc,Nasz_Dziennik
3,0.00166785896984,6366,rosyjski,Nasz_Dziennik
3,0.00163162155783,6437,rosja,Nasz_Dziennik
4,0.00319583635437,12182,rzad,Nasz_Dziennik
4,0.00301296058502,11456,prawo,Nasz_Dziennik
4,0.00229055875761,8682,minister,Nasz_Dziennik
4,0.00226451894548,8748,rodzina,Nasz_Dziennik
4,0.00210393525838,8064,wladza,Nasz_Dziennik
4,0.00209413842723,7791,polak,Nasz_Dziennik
4,0.00206287470706,7912,mama,Nasz_Dziennik
4,0.00205420767183,7915,ustawa,Nasz_Dziennik
4,0.00202175905987,7792,komisja,Nasz_Dziennik
4,0.00197696072297,7268,europejski,Nasz_Dziennik
4,0.00189651643728,7332,posel,Nasz_Dziennik
4,0.00183600878669,7029,zwiazek,Nasz_Dziennik
4,0.00172767074065,6437,rosja,Nasz_Dziennik
4,0.00170410040193,6483,pomoc,Nasz_Dziennik
4,0.00169333339054,6309,ukraina,Nasz_Dziennik
5,0.00323128796947,12182,rzad,Nasz_Dziennik
5,0.00297055016057,11456,prawo,Nasz_Dziennik
5,0.00229505540229,8748,rodzina,Nasz_Dziennik
5,0.00217811128464,8682,minister,Nasz_Dziennik
5,0.00208624018688,8064,wladza,Nasz_Dziennik
5,0.00207988301521,7792,komisja,Nasz_Dziennik
5,0.00205567246034,7915,ustawa,Nasz_Dziennik
5,0.00205130691805,7912,mama,Nasz_Dziennik
5,0.0020224309958,7791,polak,Nasz_Dziennik
5,0.001949810891,7332,posel,Nasz_Dziennik
5,0.00185042410271,7268,europejski,Nasz_Dziennik
5,0.00182449694033,7029,zwiazek,Nasz_Dziennik
5,0.0017184645557,6483,pomoc,Nasz_Dziennik
5,0.00166521957282,6437,rosja,Nasz_Dziennik
5,0.00161881359826,6366,rosyjski,Nasz_Dziennik
6,0.00317193630046,12182,rzad,Nasz_Dziennik
6,0.00295525233581,11456,prawo,Nasz_Dziennik
6,0.0022776000931,8682,minister,Nasz_Dziennik
6,0.00226632891717,8748,rodzina,Nasz_Dziennik
6,0.00209704026302,8064,wladza,Nasz_Dziennik
6,0.0020935816235,7912,mama,Nasz_Dziennik
6,0.00205524837456,7915,ustawa,Nasz_Dziennik
6,0.00200701698737,7792,komisja,Nasz_Dziennik
6,0.001994589532,7791,polak,Nasz_Dziennik
6,0.00192164471794,7332,posel,Nasz_Dziennik
6,0.00185757472959,7268,europejski,Nasz_Dziennik
6,0.00183968932918,7029,zwiazek,Nasz_Dziennik
6,0.00168999287314,6437,rosja,Nasz_Dziennik
6,0.00167009274173,6483,pomoc,Nasz_Dziennik
6,0.00163049247635,6309,ukraina,Nasz_Dziennik
7,0.00323889792583,12182,rzad,Nasz_Dziennik
7,0.00298036625513,11456,prawo,Nasz_Dziennik
7,0.00239369136407,8748,rodzina,Nasz_Dziennik
7,0.00225691298021,8682,minister,Nasz_Dziennik
7,0.00213272343946,8064,wladza,Nasz_Dziennik
7,0.00210545641296,7915,ustawa,Nasz_Dziennik
7,0.0020822073767,7912,mama,Nasz_Dziennik
7,0.00205493612325,7791,polak,Nasz_Dziennik
7,0.00196255899137,7792,komisja,Nasz_Dziennik
7,0.00195855716776,7332,posel,Nasz_Dziennik
7,0.00192808733824,7268,europejski,Nasz_Dziennik
7,0.00182708657487,7029,zwiazek,Nasz_Dziennik
7,0.00169500226218,6366,rosyjski,Nasz_Dziennik
7,0.00168380000201,6483,pomoc,Nasz_Dziennik
7,0.00163559248844,6437,rosja,Nasz_Dziennik
0,0.00282536814673,3936,policja,Super_Express
0,0.00281486758605,3927,pis,Super_Express
0,0.00268870000825,3762,mezczyzna,Super_Express
0,0.00263356809119,3682,kobieta,Super_Express
0,0.00242249103912,3174,duda,Super_Express
0,0.00216147991119,2988,rzad,Super_Express
0,0.00208541427578,2861,pomoc,Super_Express
0,0.00197954095592,2641,rodzina,Super_Express
0,0.00191103102153,2693,prawo,Super_Express
0,0.00186697002167,2702,minister,Super_Express
0,0.00185433244813,2536,partia,Super_Express
0,0.00184176865802,2571,posel,Super_Express
0,0.0018367019098,2642,polityk,Super_Express
0,0.00182313562762,2559,andrzej,Super_Express
0,0.00181407071334,2710,kaczynski,Super_Express
1,0.00283351055844,3936,policja,Super_Express
1,0.00282447802704,3927,pis,Super_Express
1,0.00267583192292,3762,mezczyzna,Super_Express
1,0.00261715262974,3682,kobieta,Super_Express
1,0.00241794357388,3174,duda,Super_Express
1,0.00211447180699,2988,rzad,Super_Express
1,0.00207909211615,2861,pomoc,Super_Express
1,0.00201747856123,2702,minister,Super_Express
1,0.00193831077915,2693,prawo,Super_Express
1,0.00191345939543,2571,posel,Super_Express
1,0.00189886378552,2559,andrzej,Super_Express
1,0.00188927154151,2710,kaczynski,Super_Express
